,Date,Country,City,Latitude,Longtitue,Humidity,Max Temperature,Windspeed,Cloudiness
0,1617334630,LR,Buchanan,5.8808,-10.0467,93,77.23,2.28,89
1,1617334631,AU,Busselton,-33.65,115.3333,77,73.0,1.99,49
2,1617334632,US,Hilo,19.7297,-155.09,65,77.0,10.36,90
3,1617334632,GL,Tasiilaq,65.6145,-37.6368,93,33.8,3.44,90
4,1617334633,NZ,Mataura,-46.1927,168.8643,67,55.99,17.0,9
5,1617334581,PF,Rikitea,-23.1203,-134.9692,91,71.76,6.53,100
6,1617334633,RU,Provideniya,64.3833,-173.3,92,10.4,4.47,90
7,1617334634,MG,Antalaha,-14.9003,50.2788,90,76.19,9.17,96
8,1617334634,AU,Hobart,-42.8794,147.3294,56,72.0,4.61,75
9,1617334634,IN,Verāval,20.9,70.3667,55,81.46,3.98,29
10,1617334635,TO,Vaini,-21.2,-175.2,74,86.0,8.05,75
11,1617334635,AU,Carnarvon,-24.8667,113.6333,66,87.8,6.91,2
12,1617334635,US,Gillette,44.2911,-105.5022,20,52.0,14.97,1
13,1617334636,US,Sitka,57.0531,-135.33,80,33.8,10.36,90
14,1617334636,CL,Punta Arenas,-53.15,-70.9167,87,44.6,8.05,0
15,1617334637,AU,Esperance,-33.8667,121.9,18,91.4,23.02,0
16,1617334637,NZ,Te Anau,-45.4167,167.7167,47,57.2,5.77,19
17,1617334577,ZA,Cape Town,-33.9258,18.4232,82,63.0,8.05,0
18,1617334637,US,Barrow,71.2906,-156.7887,77,-9.4,3.44,1
19,1617334638,RU,Nikolskoye,59.7035,30.7861,86,33.01,4.47,0
20,1617334638,MR,Atar,20.5169,-13.0499,12,79.9,7.02,78
21,1617334639,SJ,Longyearbyen,78.2186,15.6401,86,26.6,2.3,75
22,1617334639,RU,Khatanga,71.9667,102.5,89,-12.32,6.98,21
23,1617334639,UA,Ivankiv,50.9386,29.8943,71,50.0,6.71,100
24,1617334640,AR,Ushuaia,-54.8,-68.3,71,48.2,3.44,20
25,1617334640,TR,Tekirdağ,40.978,27.5085,93,35.6,3.44,6
26,1617334513,MX,Cabo San Lucas,22.8909,-109.9124,44,77.0,11.52,40
27,1617334641,PF,Atuona,-9.8,-139.0333,79,81.07,13.22,71
28,1617334641,DO,Samaná,19.2056,-69.3369,79,73.83,8.41,2
29,1617334642,VE,Guanare,9.0418,-69.7421,60,77.99,3.31,44
30,1617334643,AO,Longonjo,-12.9067,15.2533,94,63.66,3.15,100
31,1617334643,BR,Touros,-5.1989,-35.4608,94,75.2,2.3,40
32,1617334643,CK,Avarua,-21.2078,-159.775,70,84.2,10.36,20
33,1617334491,BR,Buritizeiro,-17.3511,-44.9622,73,69.78,3.56,15
34,1617334644,GL,Qaanaaq,77.484,-69.3632,96,7.03,4.68,100
35,1617334644,ZA,Hermanus,-34.4187,19.2345,87,61.0,1.01,100
36,1617334644,ZA,Port Alfred,-33.5906,26.891,91,66.25,3.04,100
37,1617334645,ID,Tual,-5.6667,132.75,70,83.21,3.09,100
38,1617334456,US,Palmer,42.1584,-72.3287,55,35.6,9.22,75
39,1617334645,BR,Ladário,-19.0047,-57.6017,63,75.09,2.77,40
40,1617334646,RU,Aksarka,66.5606,67.7975,93,23.18,3.87,98
41,1617334646,AU,New Norfolk,-42.7826,147.0587,42,73.0,1.01,99
42,1617334646,AU,Ballina,-28.8667,153.5667,57,77.0,13.8,40
43,1617334647,PT,Vila Franca do Campo,37.7167,-25.4333,88,60.8,11.5,20
44,1617334647,LY,Mizdah,31.4451,12.9801,50,54.37,3.11,0
45,1617334648,PT,Ribeira Grande,38.5167,-28.7,81,60.08,27.98,99
46,1617334648,US,Jamestown,42.097,-79.2353,63,26.01,12.66,90
47,1617334373,US,Fortuna,40.5982,-124.1573,100,51.01,8.05,90
48,1617334649,CG,Sémbé,1.6481,14.5806,84,71.1,1.61,27
49,1617334441,ZA,East London,-33.0153,27.9116,94,62.6,4.61,20
50,1617334649,RU,Zhigansk,66.7697,123.3711,91,13.33,1.97,100
51,1617334649,CL,Coyhaique,-45.5752,-72.0662,95,49.62,3.36,81
52,1617334650,RU,Aykhal,66.0,111.5,91,-10.21,16.49,100
53,1617334650,MU,Mahébourg,-20.4081,57.7,94,77.0,13.8,75
54,1617334651,RU,Stepantsevo,56.1314,41.7032,99,32.67,3.67,100
55,1617334651,LY,Ubari,26.5921,12.7805,33,58.71,7.49,0
56,1617334651,US,Lompoc,34.6391,-120.4579,63,60.8,5.75,0
57,1617334652,NO,Raudeberg,61.9875,5.1352,87,39.0,15.43,97
58,1617334652,PK,Jati,24.3539,68.2671,31,86.85,3.83,2
59,1617334653,BR,Itarema,-2.9248,-39.9167,87,75.54,8.93,19
60,1617334653,BS,Rock Sound,24.9,-76.2,72,75.7,3.0,100
61,1617334653,UA,Mahdalynivka,48.921,34.9156,70,39.2,4.47,0
62,1617334654,BR,Rio Pardo de Minas,-15.6097,-42.5397,85,66.96,2.71,76
63,1617334654,JM,Bull Savanna,17.8868,-77.5902,82,73.96,4.34,58
64,1617334655,JP,Naze,28.3667,129.4833,94,69.8,17.27,75
65,1617334655,US,Kapaa,22.0752,-159.319,61,78.8,14.97,1
66,1617334655,NZ,Dunedin,-45.8742,170.5036,59,59.0,8.01,22
67,1617334657,AT,Graz,47.0667,15.45,66,51.8,2.3,100
68,1617334657,IN,Ziro,27.6333,93.8333,83,71.6,2.3,75
69,1617334657,AO,Mossamedes,-15.1961,12.1522,78,75.85,8.5,13
70,1617334658,CA,Yellowknife,62.456,-114.3525,86,15.8,8.05,90
71,1617334528,CA,Torbay,47.6666,-52.7314,80,33.8,5.75,40
72,1617334659,CF,Ouango,4.3133,22.5552,93,70.14,0.2,100
73,1617334659,RU,Leshukonskoye,64.8989,45.7622,93,29.86,5.99,100
74,1617334660,GL,Maniitsoq,65.4167,-52.9,76,16.54,12.19,100
75,1617334579,US,Golden,39.7555,-105.2211,13,59.0,9.22,1
76,1617334661,RU,Leningradskiy,69.3833,178.4167,94,0.91,7.34,100
77,1617334661,BA,Livno,43.8269,17.0078,61,43.0,15.99,95
78,1617334661,SO,Hargeisa,9.56,44.065,28,68.68,1.9,0
79,1617334548,US,San Angelo,31.4638,-100.437,25,59.0,9.22,1
80,1617334662,IS,Husavik,66.0449,-17.3389,65,41.0,20.71,0
81,1617334662,BR,Boa Vista,2.8197,-60.6733,65,80.6,9.22,0
82,1617334663,PG,Lorengau,-2.0226,147.2712,77,82.54,6.38,99
83,1617334664,RU,Kuril'sk,45.2333,147.8833,76,34.83,7.78,27
84,1617334664,MZ,Cuamba,-14.8031,36.5372,96,61.61,2.64,13
85,1617334665,US,Albany,42.6001,-73.9662,55,32.0,1.99,34
86,1617334665,LA,Pakse,15.1167,105.7833,55,91.4,6.91,40
87,1617334665,BR,Castro,-24.7911,-50.0119,98,52.43,5.68,6
88,1617334666,US,Bethel,41.3712,-73.414,52,37.4,11.5,90
89,1617334666,RU,Porosozero,62.7191,32.727,95,25.75,3.13,89
90,1617334666,CA,Iqaluit,63.7506,-68.5145,63,-18.4,2.3,1
91,1617334667,NZ,Bluff,-46.6,168.3333,67,55.99,17.0,18
92,1617334667,EC,Puerto Ayora,-0.7393,-90.3518,95,75.99,1.86,74
93,1617334667,RU,Lebyazh'ye,55.2689,66.4947,91,32.67,17.18,94
94,1617334668,MW,Mchinji,-13.7984,32.8802,97,57.9,2.95,34
95,1617334668,MY,Sibu,2.3,111.8167,62,89.6,3.44,40
96,1617334669,CN,Baiyin,36.5583,104.2081,87,45.0,8.95,90
97,1617334669,CA,Tuktoyaktuk,69.4541,-133.0374,76,-14.8,8.05,75
98,1617334669,ID,Bengkulu,-3.8004,102.2655,66,84.56,12.59,95
99,1617334671,RU,Chokurdakh,70.6333,147.9167,86,6.21,2.26,99
100,1617334671,PH,Pandan,14.0453,124.1694,60,84.87,12.15,50
101,1617334671,TL,Airai,-8.9266,125.4092,88,66.06,3.33,100
102,1617334672,US,Kahului,20.8947,-156.47,65,78.8,18.41,20
103,1617334431,US,Pacific Grove,36.6177,-121.9166,32,64.4,6.91,1
104,1617334672,SO,Bandarbeyla,9.4942,50.8122,66,77.61,5.61,0
105,1617334673,CA,Thompson,55.7435,-97.8558,56,39.2,3.44,90
106,1617334673,ZA,Saldanha,-33.0117,17.9442,82,55.4,2.3,86
107,1617334674,PE,Pisco,-13.7,-76.2167,73,69.8,6.91,0
108,1617334675,RU,Kodinsk,58.6881,99.1844,85,30.61,9.95,100
109,1617334675,BR,Vila Velha,-20.3297,-40.2925,88,73.4,2.3,75
110,1617334675,SA,Sakakah,29.9697,40.2064,41,55.4,6.91,0
111,1617334676,ZA,Richards Bay,-28.783,32.0377,86,72.91,3.02,99
112,1617334676,RU,Petukhovo,55.0692,67.9019,96,32.14,16.6,98
113,1617334677,AF,Mīrābād,30.4362,61.8383,24,66.99,13.04,0
114,1617334677,FO,Klaksvík,62.2266,-6.589,87,35.6,1.14,7
115,1617334677,ID,Manado,1.487,124.8455,66,89.6,11.5,20
116,1617334678,NZ,Kaitangata,-46.2817,169.8464,58,57.0,11.99,7
117,1617334678,CN,Shaoyang,27.2315,111.4525,85,56.89,5.77,100
118,1617334678,NI,La Concordia,13.1953,-86.1667,78,66.47,7.87,0
119,1617334574,AR,Mar del Plata,-38.0023,-57.5575,77,66.0,6.91,20
120,1617334679,ID,Sibolga,1.7427,98.7792,63,85.75,6.24,47
121,1617334679,MV,Hithadhoo,-0.6,73.0833,76,83.66,17.09,40
122,1617334680,CA,Saint-Prosper,46.2117,-70.4811,79,19.4,5.75,100
123,1617334681,RU,Tiksi,71.6872,128.8694,98,-9.94,8.99,100
124,1617334681,CN,Suining,30.508,105.5733,83,53.67,11.61,100
125,1617334682,ZA,Bredasdorp,-34.5322,20.0403,88,59.0,1.14,100
126,1617334682,GF,Cayenne,4.9333,-52.3333,88,80.01,1.14,0
127,1617334683,RU,Solnechnyy,50.7214,136.6319,69,40.3,7.67,99
128,1617334683,CH,Cham,47.1821,8.4636,87,46.4,1.14,20
129,1617334684,ES,Grado,43.388,-6.0743,82,57.2,6.91,0
130,1617334684,IR,Marivan,35.5219,46.176,44,53.22,1.45,100
131,1617334674,US,Grand Forks,47.9417,-97.4337,39,42.8,25.32,40
132,1617334685,CD,Mbandaka,0.0487,18.2603,97,71.4,6.73,100
133,1617334685,MG,Tsaratanana,-16.7833,47.65,78,73.36,11.77,96
134,1617334686,DE,Kempten (Allgäu),47.7267,10.3139,80,43.0,1.1,20
135,1617334686,VU,Sola,-13.8833,167.55,74,87.8,9.04,75
136,1617334564,PE,Lima,-12.0432,-77.0282,83,68.0,8.05,0
137,1617334687,PH,Dingle,10.9995,122.6711,50,86.95,12.71,100
138,1617334446,HK,Hong Kong,22.2855,114.1577,76,84.0,6.29,4
139,1617334688,KZ,Derzhavīnsk,51.1,66.3167,87,21.51,12.06,97
140,1617334688,LY,Nālūt,30.3333,10.85,34,59.22,8.05,5
141,1617334689,GF,Sinnamary,5.3833,-52.95,82,77.32,10.38,91
142,1617334690,AR,Rawson,-43.3002,-65.1023,83,60.87,12.03,18
143,1617334690,NA,Lüderitz,-26.6481,15.1594,67,65.77,12.03,0
144,1617334691,MX,Villa Zempoala,19.45,-96.4167,78,72.0,17.27,1
145,1617334691,PG,Kavieng,-2.5744,150.7967,71,85.05,7.52,85
146,1617334691,ID,Atambua,-9.1061,124.8925,89,75.52,4.97,100
147,1617334692,BR,Itaituba,-4.2761,-55.9836,98,72.32,1.19,92
148,1617334692,JP,Shimokizukuri,40.8061,140.3861,50,59.0,8.05,0
149,1617334692,GL,Nanortalik,60.1432,-45.2371,95,35.19,10.36,68
150,1617334693,RE,Saint-Philippe,-21.3585,55.7679,65,78.8,10.36,90
151,1617334693,KR,Gijang,35.2442,129.2139,52,66.2,14.97,75
152,1617334694,MW,Mangochi,-14.4782,35.2645,90,64.13,5.01,7
153,1617334694,CN,Tahe,52.3333,124.7333,98,33.57,5.44,100
154,1617334694,CA,Fort Nelson,58.8053,-122.7002,38,37.4,3.44,75
155,1617334695,GL,Narsaq,60.9167,-46.05,75,35.6,3.44,75
156,1617334695,PL,Olsztyn,53.7799,20.4942,100,32.0,3.44,75
157,1617334696,MU,Bambous Virieux,-20.3428,57.7575,94,77.0,13.8,75
158,1617334696,RU,Ola,59.5833,151.2833,56,26.56,10.09,0
159,1617334696,ID,Padang,-0.9492,100.3543,66,87.8,5.75,40
160,1617334696,US,Saint Paul Harbor,57.79,-152.4072,43,26.6,26.46,1
161,1617334697,ZA,Knysna,-34.0363,23.0471,94,59.0,3.44,75
162,1617334697,IN,Contai,21.7786,87.7536,58,87.89,11.39,16
163,1617334698,CN,Altay,47.8667,88.1167,40,35.28,1.03,0
164,1617334698,VG,Road Town,18.4167,-64.6167,86,78.01,7.0,5
165,1617334698,IR,Sarakhs,36.5449,61.1577,53,50.0,6.91,67
166,1617334699,BR,Formosa do Rio Preto,-11.0483,-45.1931,96,69.49,1.86,98
167,1617334699,MV,Muli,2.9167,73.5667,76,83.55,15.21,23
168,1617334700,US,Saint George,37.1041,-113.5841,15,68.0,3.83,1
169,1617334495,US,Brewster,41.3973,-73.6171,52,37.4,11.5,90
170,1617334700,RU,Ust-Maya,60.4167,134.5333,81,29.84,4.81,100
171,1617334701,RU,Cherëmukhovo,60.3484,59.9851,84,33.48,5.93,100
172,1617334701,RU,Yar-Sale,66.8333,70.8333,95,24.67,5.32,100
173,1617334702,RU,Voyvozh,62.892,54.9635,95,30.79,7.63,100
174,1617334702,MX,Ocotepec,17.2167,-93.15,94,54.7,4.16,29
175,1617334702,CN,Zhangjiakou,40.81,114.8794,47,53.28,3.11,100
176,1617334703,ZA,Vredendal,-31.6683,18.5012,92,55.81,3.2,78
177,1617334417,TC,Cockburn Town,21.4612,-71.1419,74,77.41,19.53,27
178,1617334704,AU,Mount Gambier,-37.8333,140.7667,17,89.6,17.27,0
179,1617334705,KI,Butaritari,3.0707,172.7902,75,82.47,12.95,100
180,1617334705,RU,Petropavlovsk-Kamchatskiy,53.0452,158.6483,48,41.0,15.66,75
181,1617334705,CL,Lebu,-37.6167,-73.65,91,55.42,11.99,31
182,1617334706,BW,Gweta,-20.1833,25.2333,43,65.16,7.87,24
183,1617334563,US,Charter Township of Clinton,42.587,-82.9199,74,27.0,5.75,1
184,1617334565,US,Portland,45.5234,-122.6762,58,55.99,1.99,100
185,1617334706,AU,Emerald,-23.5333,148.1667,36,82.99,17.27,75
186,1617334707,AU,Codrington,-38.2667,141.9667,22,85.64,5.08,3
187,1617334707,PT,Lagoa,39.05,-27.9833,81,59.34,27.18,100
188,1617334707,PT,Ponta do Sol,32.6667,-17.1,74,59.0,1.99,47
189,1617334708,BR,Cidreira,-30.1811,-50.2056,60,70.05,8.86,47
190,1617334708,RU,Batagay-Alyta,67.8006,130.4114,83,3.45,2.89,95
191,1617334544,BR,Cururupu,-1.8283,-44.8683,97,74.8,2.89,98
192,1617334708,RU,Arman',59.7,150.1667,58,27.79,7.16,0
193,1617334709,IN,Nandyāl,15.4833,78.4833,26,92.59,11.18,100
194,1617334709,SB,Auki,-8.7676,160.7034,70,85.15,5.86,31
195,1617334709,GE,Khani,41.9563,42.9566,93,42.8,2.3,90
196,1617334616,US,Virginia Beach,36.8529,-75.978,60,45.0,4.0,79
197,1617334710,ML,Kayes,14.0,-11.0,9,85.55,4.72,0
198,1617334710,PR,Maunabo,18.0072,-65.8993,88,75.99,5.99,14
199,1617334711,SE,Kristianstad,56.0313,14.1524,93,33.8,5.73,15
200,1617334711,CN,Lichuan,30.3,108.85,94,51.15,3.69,100
201,1617334711,PF,Faanui,-16.4833,-151.75,69,82.63,7.83,100
202,1617334712,NO,Sørland,67.667,12.6934,71,36.75,26.11,100
203,1617334712,RU,Saskylakh,71.9167,114.0833,95,-22.72,5.37,99
204,1617334713,CL,Tocopilla,-22.092,-70.1979,73,67.68,7.31,10
205,1617334713,PL,Bielsk Podlaski,52.7651,23.1865,82,33.01,1.99,53
206,1617334714,AU,Port Lincoln,-34.7333,135.8667,38,81.79,5.48,0
207,1617334714,MG,Antsohihy,-14.8796,47.9875,83,76.42,7.45,77
208,1617334715,PE,Sechura,-5.5569,-80.8222,72,72.72,12.35,68
209,1617334715,US,Centralia,46.7162,-122.9543,81,50.0,4.61,40
210,1617334715,PH,Pundaguitan,6.3711,126.1689,76,82.29,10.33,96
211,1617334716,AU,Mount Isa,-20.7333,139.5,23,87.8,16.11,0
212,1617334700,CL,Coquimbo,-29.9533,-71.3436,88,55.4,3.44,0
213,1617334716,RU,Talnakh,69.4865,88.3972,80,-4.13,7.49,25
214,1617334717,NO,Havøysund,70.9963,24.6622,74,30.2,2.3,90
215,1617334717,HT,Jacmel,18.2342,-72.5347,69,78.8,3.44,10
216,1617334526,SA,Buraidah,26.326,43.975,49,71.6,5.75,75
217,1617334717,VN,Kwang Binh,17.4833,106.6,70,85.98,6.71,22
218,1617334718,FI,Varkaus,62.3153,27.873,86,28.4,3.44,0
